CAT,847533
EL,162298
KMX,220487
NSC,965676
PM,636000
JEF,-496261
PGR,-802709
CI,228949
KO,-290879
FBHS,970031
TSS,874314
KSU,-984428
AIG,116289
NOV,20047
PSA,-74075
MPC,-267736
FRT,673503
XEL,118039
BAC,868503
MRK,887394
VTR,780624
AOS,528006
PM,395926
JWN,132669
CMS,278661
DWDP,610253
PFE,216863
DG,-988103
C,-371139
HAL,554115
DVA,-797824
JWN,93739
IVZ,846493
GD,-970873
HRB,-818450
O,-573461
NI,-96444
MMC,751817
NRG,-57492
DLR,680918
CAT,-446489
CF,629291
ABBV,783077
BWA,414502
GWW,-218244
ALB,-480310
AZO,-453277
AVY,-52306
EQR,-822606
MAA,128634
TDG,-150588
WMT,-711247
COF,-24416
AMT,953881
PPG,553082
BBT,-211919
K,-558515
MGM,495921
AEP,224084
KMI,-791345
EFX,-15876
APC,974316
KO,-966736
M,-889344
C,-591298
TFX,-685060
URI,411555
NOC,121202
GM,-624244
URI,517426
CLX,346857
CI,288819
CB,789669
OMC,547000
MSI,-973387
MTD,-775632
MCK,957024
TAP,372299
BAC,-706767
UDR,833118
PPL,710668
UHS,-786207
XRX,-642749
DLR,-904496
RF,-661520
BAC,899007
CNC,-95257
RL,299981
CPRI,-597775
LLY,354402
MHK,-501563
JNPR,-343211
ARNC,138907
COG,-575778
PEG,-336784
WMB,64810
COP,-73963
CAH,-238459
CRM,828203
AWK,400920
FRC,887903
DTE,901722
XEC,-917312
DOV,64859
HLT,-30129
FLR,297798
PNC,-536698
PG,396028
CFG,-547699
ZTS,769413
OKE,588847
PWR,713204
DVA,128219
SYY,993432
COG,740438
AME,235244
FLT,-806752
TWTR,383799
DRE,-944163
UHS,-552668
ZTS,354040
FTV,-952421
EW,-551076
RTN,-311771
MHK,-941785
YUM,813496
WEC,248531
WAT,-499777
EIX,-165638
DAL,106477
LYB,892377
DOV,266784
ROL,-942458
CAG,-699128
TMO,488339
BSX,-174162
DHI,-976541
COG,-713125
CMS,343563
PWR,233023
MRO,422469
HRS,-3138
CMS,-218823
CVX,-705067
UAA,-46069
TAP,493448
COF,-536487
BK,713286
CMI,-414396
PNC,476531
EMN,-544527
LNT,483700
DAL,-924280
RF,-605478
DWDP,-960136
NOV,-732540
DTE,935746
TPR,-650855
GM,-384094
FBHS,800180
ARNC,671450
CL,-366391
FLR,309228
AIV,-985467
ABBV,871725
CCL,-983815
ABT,10117
LEN,-297327
HIG,804891
MMC,162780
MCO,770040
AON,-210939
CXO,-483429
FTV,4360
EFX,774905
MHK,-781165
UAL,138376
PNR,583025
SNA,-281584
ADS,-72630
HPE,-31507
PRGO,895380
CL,312226
FTV,-644254
CFG,-187068
MAC,452464
OMC,-923594
MPC,55690
KSS,-963900
ORCL,-484867
ORCL,652559
PKG,-183147
JNJ,-776120
FBHS,-12545
HRS,-724825
HD,877300
MDT,679537
PVH,792812
TMK,-372427
NCLH,-859207
CFG,-949958
UDR,721507
PSA,-692692
IR,-507196
CCI,-14055
AIG,690503
NEM,89794
GM,-986724
PKG,-119203
JWN,-507545
ABT,524489
FBHS,720695
FIS,417028
ZBH,-146200
ES,-837745
KSU,98302
PNC,228764
CAG,-863748
ARNC,-23003
WEC,-868576
TSS,-752946
LLL,361290
PEG,-740904
COG,171477
LH,885742
ROP,-602644
DE,967090
DLR,817163
GWW,191361
LMT,-373008
ANET,-976050
LEN,-38501
COP,-136362
AOS,416015
CBRE,-929042
ZBH,-314888
KO,-56335
MCO,701354
AFL,932939
BSX,935855
MDT,920639
UAL,644873
CMS,708609
LEN,57510
CRM,303178
TDG,645260
HCP,-304875
SPG,-32512
EW,422337
RF,167280
EIX,128657
AWK,935735
MAC,-776827
AWK,511863
CTL,-105651
RTN,-931838
ABC,-815521
ORCL,-999725
FIS,574055
MCK,576629
FMC,-986893
GM,836429
IQV,282142
UNH,249416
PNW,-947531
KO,-462768
MAA,11844
FE,-347021
ED,-513151
ICE,-191066
MOS,-879195
K,507285
GWW,-19388
CVS,253493
EIX,-867476
FTI,355594
WMT,-134872
BK,644926
TIF,-435186
HAL,-249003
M,-928454
DOW,507154
IFF,676593
WAB,254636
APH,-355467
DE,63043
CXO,-3697
ROP,863186
MKC,-975672
HRS,-381402
UHS,-689513
MAC,-902420
FRT,-909261
LUV,-800228
DVA,639636
OKE,-89037
AMT,604087
DHI,846783
ANET,835165
HLT,-944215
CMS,-263964
AVY,-720667
MHK,-985674
KSU,-49006
DG,-206607
TFX,-461528
PXD,-694387
KSS,44889
GE,867234
KMB,936652
EVRG,904686
NLSN,498113
PGR,-630256
HIG,-545813
SJM,-156670
NBL,-203978
HLT,-607424
JEC,-231272
TFX,-420275
LYB,495908
LB,-150215
NOC,633843
PH,302308
ITW,435889
BAX,464120
WAB,-942378
FTV,184730
KSU,-55976
CXO,-296736
NRG,110547
RSG,854829
PKG,-134614
AZO,-542369
CMS,-908122
HD,-68470
EQR,-682182
FE,-476491
PGR,898614
AMP,441043
HLT,571074
PKI,-977750
MDT,-17953
DOW,441606
ABT,990465
MCO,-74488
UAA,268695
ORCL,519357
SEE,991497
CMS,556781
WCG,-512733
DG,780432
COTY,913339
HST,554589
KMI,-623617
O,569297
AAP,890525
MTB,-557504
PRGO,203297
LUV,-505514
MSCI,-788128
HRS,-4489
IVZ,704259
AEE,57109
KEY,137126
F,505540
NSC,219172
